color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
Dragon Scale,Trending spring color updates the icon.,"https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw1d76b5a4/images/c_08/A04544C_C_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw930c60fd/images/e_08/A04544C_E_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwa7f78bab/images/d_08/A04544C_D_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw7e01b72b/images/g_08/A04544C_G_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw6026971c/images/b_08/A04544C_B_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwbca4278e/images/f_08/A04544C_F_08X1.jpg?sw=406",Converse,Chuck Taylor All Star Seasonal Color,$65.00,"Men's 3 / Women's 5,Men's 3.5 / Women's 5.5,Men's 4 / Women's 6,Men's 4.5 / Women's 6.5,Men's 5 / Women's 7,Men's 5.5 / Women's 7.5,Men's 6 / Women's 8,Men's 6.5 / Women's 8.5,Men's 7 / Women's 9,Men's 7.5 / Women's 9.5 – Sold Out - Notify Me,Men's 8 / Women's 10 – Sold Out - Notify Me,Men's 8.5 / Women's 10.5 – Sold Out - Notify Me,Men's 9 / Women's 11 – Sold Out - Notify Me,Men's 9.5 / Women's 11.5 – Sold Out - Notify Me,Men's 10 / Women's 12 – Sold Out - Notify Me,Men's 10.5 / Women's 12.5 – Sold Out - Notify Me,Men's 11 / Women's 13 – Sold Out - Notify Me,Men's 11.5 / Women's 13.5 – Sold Out - Notify Me,Men's 12 / Women's 14 – Sold Out - Notify Me,Men's 13 / Women's 15 – Sold Out - Notify Me,Men's 14 / Women's 16 – Sold Out - Notify Me,Men's 15 / Women's 17 – Sold Out - Notify Me,Men's 16 / Women's 18 – Sold Out - Notify Me",https://www.converse.com/shop/p/chuck-taylor-all-star-seasonal-color-unisex-high-top-shoe/A04544F.html?dwvar_A04544F_color=dragon%20scale&styleNo=A04544F&cgid=shoes,https://www.converse.com/shop/shoes
Eternal Earth Brown,Trending spring color updates the icon.,"https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dweac0024f/images/c_08/A04543C_C_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwe86fb882/images/e_08/A04543C_E_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw10d9e867/images/d_08/A04543C_D_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwe41c5692/images/g_08/A04543C_G_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dweb313cea/images/b_08/A04543C_B_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwe230590a/images/f_08/A04543C_F_08X1.jpg?sw=406",Converse,Chuck Taylor All Star Seasonal Color,$65.00,"Men's 3 / Women's 5,Men's 3.5 / Women's 5.5 – Sold Out - Notify Me,Men's 4 / Women's 6,Men's 4.5 / Women's 6.5,Men's 5 / Women's 7,Men's 5.5 / Women's 7.5,Men's 6 / Women's 8 – Sold Out - Notify Me,Men's 6.5 / Women's 8.5 – Sold Out - Notify Me,Men's 7 / Women's 9,Men's 7.5 / Women's 9.5 – Sold Out - Notify Me,Men's 8 / Women's 10,Men's 8.5 / Women's 10.5 – Sold Out - Notify Me,Men's 9 / Women's 11 – Sold Out - Notify Me,Men's 9.5 / Women's 11.5 – Sold Out - Notify Me,Men's 10 / Women's 12 – Sold Out - Notify Me,Men's 10.5 / Women's 12.5 – Sold Out - Notify Me,Men's 11 / Women's 13 – Sold Out - Notify Me,Men's 11.5 / Women's 13.5 – Sold Out - Notify Me,Men's 12 / Women's 14 – Sold Out - Notify Me,Men's 13 / Women's 15 – Sold Out - Notify Me,Men's 14 / Women's 16 – Sold Out - Notify Me,Men's 15 / Women's 17 – Sold Out - Notify Me,Men's 16 / Women's 18 – Sold Out - Notify Me",https://www.converse.com/shop/p/chuck-taylor-all-star-seasonal-color-unisex-high-top-shoe/A04543F.html?dwvar_A04543F_color=eternal%20earth%20brown&styleNo=A04543F&cgid=shoes,https://www.converse.com/shop/shoes
Vintage White/University Red,Embroidered hearts and bright pink outsoles bring the love to platform Chucks.,"https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw33c9f4b3/images/c_08/A01599C_C_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw7703e1ef/images/h_08/A01599C_H_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw747db620/images/e_08/A01599C_E_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwed966a3f/images/d_08/A01599C_D_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwf324995a/images/g_08/A01599C_G_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwf4af2e00/images/b_08/A01599C_B_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw491bad57/images/f_08/A01599C_F_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwd6f3e2c2/images/i_08/A01599C_I_08X1.jpg?sw=406",Converse,Chuck Taylor All Star Lift Platform Embroidered Hearts,$75.00,"Women's 5,Women's 5.5,Women's 6,Women's 6.5,Women's 7,Women's 7.5,Women's 8,Women's 8.5,Women's 9,Women's 9.5,Women's 10,Women's 10.5,Women's 11",https://www.converse.com/shop/p/chuck-taylor-all-star-lift-platform-embroidered-hearts-womens-high-top-shoe/A01599C.html?dwvar_A01599C_color=vintage%20white%2Funiversity%20red&styleNo=A01599C&cgid=shoes,https://www.converse.com/shop/shoes
Obsidian/Uncharted Waters Blue,"This fall, leave a trail of self-expression wherever you go in the Chuck Taylor All Star All Terrain.","https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwab108ba0/images/j_08/A05570C_J_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw9ecbdae5/images/c_08/A05570C_C_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwb508415f/images/e_08/A05570C_E_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw7f7060b4/images/d_08/A05570C_D_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwb940ad71/images/g_08/A05570C_G_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw1ac669db/images/b_08/A05570C_B_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw94f89fea/images/f_08/A05570C_F_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwe4f363f2/images/h_08/A05570C_H_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw209f296d/images/i_08/A05570C_I_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw0d87657a/images/k_08/A05570C_K_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw751f168e/images/l_08/A05570C_L_08X1.jpg?sw=406",Converse,All Star All Terrain,$135.00,"Men's 3 / Women's 5,Men's 3.5 / Women's 5.5,Men's 4 / Women's 6,Men's 4.5 / Women's 6.5,Men's 5 / Women's 7,Men's 5.5 / Women's 7.5,Men's 6 / Women's 8,Men's 6.5 / Women's 8.5,Men's 7 / Women's 9,Men's 7.5 / Women's 9.5,Men's 8 / Women's 10,Men's 8.5 / Women's 10.5,Men's 9 / Women's 11,Men's 9.5 / Women's 11.5,Men's 10 / Women's 12,Men's 10.5 / Women's 12.5,Men's 11 / Women's 13,Men's 11.5 / Women's 13.5,Men's 12 / Women's 14,Men's 13 / Women's 15",https://www.converse.com/shop/p/all-star-all-terrain-unisex-high-top-shoe/A05570C.html?dwvar_A05570C_color=obsidian%2Funcharted%20waters%20blue&styleNo=A05570C&cgid=shoes,https://www.converse.com/shop/shoes
Wonder Stone/Pale Putty/Black,"This fall, leave a trail of self-expression wherever you go in the Chuck Taylor All Star All Terrain.","https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwc26ea589/images/c_08/A04473C_C_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwfe14533c/images/e_08/A04473C_E_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw82033ff6/images/d_08/A04473C_D_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw57cf0375/images/g_08/A04473C_G_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwfe0ce217/images/b_08/A04473C_B_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwb9252a6a/images/f_08/A04473C_F_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw73cfea07/images/h_08/A04473C_H_08X1.jpg?sw=406",Converse,All Star All Terrain,$135.00,"Men's 3 / Women's 5,Men's 3.5 / Women's 5.5,Men's 4 / Women's 6,Men's 7.5 / Women's 9.5,Men's 8 / Women's 10,Men's 8.5 / Women's 10.5,Men's 9 / Women's 11,Men's 9.5 / Women's 11.5,Men's 10 / Women's 12,Men's 10.5 / Women's 12.5,Men's 11 / Women's 13,Men's 11.5 / Women's 13.5,Men's 12 / Women's 14,Men's 13 / Women's 15",https://www.converse.com/shop/p/all-star-all-terrain-unisex-high-top-shoe/A04473C.html?dwvar_A04473C_color=wonder%20stone%2Fpale%20putty%2Fblack&styleNo=A04473C&cgid=shoes,https://www.converse.com/shop/shoes
Engine Smoke/Squirmy Worm Brown,"This fall, leave a trail of self-expression wherever you go in the Chuck Taylor All Star All Terrain.","https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw1d6e51e2/images/c_08/A04474C_C_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwd5072bdd/images/e_08/A04474C_E_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw0127c289/images/d_08/A04474C_D_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw7bf97e77/images/g_08/A04474C_G_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwe9a2ea8b/images/b_08/A04474C_B_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw6ad64954/images/f_08/A04474C_F_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwfd032fc6/images/h_08/A04474C_H_08X1.jpg?sw=406",Converse,All Star All Terrain,$135.00,"Men's 3 / Women's 5,Men's 3.5 / Women's 5.5,Men's 4 / Women's 6,Men's 4.5 / Women's 6.5,Men's 5 / Women's 7,Men's 5.5 / Women's 7.5,Men's 6 / Women's 8,Men's 6.5 / Women's 8.5,Men's 7 / Women's 9,Men's 7.5 / Women's 9.5,Men's 8 / Women's 10,Men's 8.5 / Women's 10.5,Men's 9 / Women's 11,Men's 9.5 / Women's 11.5,Men's 10 / Women's 12,Men's 10.5 / Women's 12.5,Men's 11 / Women's 13,Men's 11.5 / Women's 13.5,Men's 12 / Women's 14,Men's 13 / Women's 15,Men's 14 / Women's 16 – Sold Out - Notify Me,Men's 15 / Women's 17 – Sold Out - Notify Me,Men's 16 / Women's 18 – Sold Out - Notify Me",https://www.converse.com/shop/p/all-star-all-terrain-unisex-high-top-shoe/A04474C.html?dwvar_A04474C_color=engine%20smoke%2Fsquirmy%20worm%20brown&styleNo=A04474C&cgid=shoes,https://www.converse.com/shop/shoes
Engine Smoke/Squirmy Worm Brown,"A cool, casual high-top boasting unique vibes without the ""pick me"" energy.","https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwfdf37518/images/c_08/A05592C_C_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw5e39011a/images/e_08/A05592C_E_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw191e55e5/images/d_08/A05592C_D_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw223419f3/images/g_08/A05592C_G_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw986e0b0f/images/b_08/A05592C_B_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw1aeb7a68/images/f_08/A05592C_F_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw088150f4/images/j_08/A05592C_J_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwcf9d5d25/images/k_08/A05592C_K_08X1.jpg?sw=406",Converse,Chuck Taylor All Star Leather,$75.00,"Men's 3 / Women's 5,Men's 3.5 / Women's 5.5,Men's 4 / Women's 6,Men's 4.5 / Women's 6.5,Men's 5 / Women's 7,Men's 5.5 / Women's 7.5,Men's 6 / Women's 8,Men's 6.5 / Women's 8.5,Men's 7 / Women's 9,Men's 7.5 / Women's 9.5,Men's 8 / Women's 10,Men's 8.5 / Women's 10.5,Men's 9 / Women's 11,Men's 9.5 / Women's 11.5,Men's 10 / Women's 12,Men's 10.5 / Women's 12.5,Men's 11 / Women's 13,Men's 11.5 / Women's 13.5,Men's 12 / Women's 14,Men's 13 / Women's 15",https://www.converse.com/shop/p/chuck-taylor-all-star-leather-unisex-high-top-shoe/A05592C.html?dwvar_A05592C_color=engine%20smoke%2Fsquirmy%20worm%20brown&styleNo=A05592C&cgid=shoes,https://www.converse.com/shop/shoes
Heirloom Silver/Origin Story Grey,"A cool, casual high-top boasting unique vibes without the ""pick me"" energy.","https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwfd75cdb6/images/c_08/A05594C_C_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwb2b2a3a4/images/e_08/A05594C_E_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw85c6eaf6/images/d_08/A05594C_D_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw8210e85d/images/g_08/A05594C_G_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwd465ccea/images/b_08/A05594C_B_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwdf147a3f/images/f_08/A05594C_F_08X1.jpg?sw=406",Converse,Chuck Taylor All Star Leather,$75.00,"Men's 3 / Women's 5,Men's 3.5 / Women's 5.5,Men's 4 / Women's 6,Men's 4.5 / Women's 6.5,Men's 5 / Women's 7,Men's 6 / Women's 8,Men's 6.5 / Women's 8.5,Men's 10.5 / Women's 12.5,Men's 11 / Women's 13,Men's 11.5 / Women's 13.5,Men's 12 / Women's 14",https://www.converse.com/shop/p/chuck-taylor-all-star-leather-unisex-high-top-shoe/A05594C.html?dwvar_A05594C_color=heirloom%20silver%2Forigin%20story%20grey&styleNo=A05594C&cgid=shoes,https://www.converse.com/shop/shoes
Black/Black/Black,"This fall, leave a trail of self-expression wherever you go in the Chuck Taylor All Star All Terrain.","https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw161e672a/images/c_08/168864C_C_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw4ba77e4f/images/e_08/168864C_E_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwfc50ea2c/images/d_08/168864C_D_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw29dfc9c5/images/g_08/168864C_G_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwc06b70f5/images/b_08/168864C_B_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw057cc627/images/f_08/168864C_F_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw6ba2f681/images/h_08/168864C_H_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwe02523ab/images/i_08/168864C_I_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwcc84afcf/images/k_08/168864C_K_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw1acce737/images/l_08/168864C_L_08X1.jpg?sw=406",Converse,All Star All Terrain,$135.00,"Men's 3 / Women's 5,Men's 3.5 / Women's 5.5,Men's 4 / Women's 6,Men's 4.5 / Women's 6.5,Men's 5 / Women's 7,Men's 5.5 / Women's 7.5,Men's 6 / Women's 8,Men's 6.5 / Women's 8.5,Men's 7 / Women's 9,Men's 7.5 / Women's 9.5,Men's 8 / Women's 10,Men's 8.5 / Women's 10.5 – Sold Out - Notify Me,Men's 9 / Women's 11 – Sold Out - Notify Me,Men's 9.5 / Women's 11.5,Men's 10 / Women's 12,Men's 10.5 / Women's 12.5,Men's 11 / Women's 13,Men's 11.5 / Women's 13.5,Men's 12 / Women's 14,Men's 13 / Women's 15,Men's 14 / Women's 16 – Sold Out - Notify Me,Men's 15 / Women's 17 – Sold Out - Notify Me,Men's 16 / Women's 18 – Sold Out - Notify Me",https://www.converse.com/shop/p/all-star-all-terrain-unisex-high-top-shoe/168864C.html?dwvar_168864C_color=black%2Fblack%2Fblack&styleNo=168864C&cgid=shoes,https://www.converse.com/shop/shoes
Uncharted Waters Blue/Egret/Black,A canvas for self expression.,"https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw09e4a227/images/c_08/A04589C_C_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwd6e1053d/images/e_08/A04589C_E_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwa4cc9651/images/d_08/A04589C_D_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw75716dc6/images/g_08/A04589C_G_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw9ff1f15f/images/b_08/A04589C_B_08X1.jpg?sw=406,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dw85df58e0/images/f_08/A04589C_F_08X1.jpg?sw=406",Converse,Chuck 70 Canvas,$90.00,"Men's 3 / Women's 5,Men's 3.5 / Women's 5.5,Men's 4 / Women's 6,Men's 4.5 / Women's 6.5,Men's 5 / Women's 7,Men's 5.5 / Women's 7.5,Men's 6 / Women's 8,Men's 6.5 / Women's 8.5,Men's 7 / Women's 9,Men's 7.5 / Women's 9.5,Men's 8 / Women's 10,Men's 8.5 / Women's 10.5,Men's 9 / Women's 11,Men's 9.5 / Women's 11.5,Men's 10 / Women's 12,Men's 10.5 / Women's 12.5,Men's 11 / Women's 13,Men's 11.5 / Women's 13.5,Men's 12 / Women's 14,Men's 13 / Women's 15,Men's 14 / Women's 16 – Sold Out - Notify Me,Men's 15 / Women's 17 – Sold Out - Notify Me,Men's 16 / Women's 18 – Sold Out - Notify Me",https://www.converse.com/shop/p/chuck-70-canvas-unisex-high-top-shoe/A04589C.html?dwvar_A04589C_color=uncharted%20waters%20blue%2Fegret%2Fblack&styleNo=A04589C&cgid=shoes,https://www.converse.com/shop/shoes
