color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
PUMA White-Malachite-Puma Team Gold,"Get ready to find your style in Mayze. We made this one for the hype girls, the street enthusiasts, the trend mavens. We've updated the stand-out silhouette with a velvet upper which matches the Mayze's famous stacked look and rubber tooling.","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/bv/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv02/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv03/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/397113/01/sv04/fnd/PNA/fmt/png/Mayze-Heritage-Velvet-Women's-Sneakers",Puma,Mayze Heritage Velvet Women's Sneakers,$100.00,"[5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0]",https://us.puma.com/us/en/pd/mayze-heritage-velvet-womens-sneakers/397113?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
Malachite-Puma Team Gold-PUMA White,"A true classic from the PUMA Archives- the Basket Classic is updated for the 21st century in this fresh iteration. The signature court-inspired style features a clean velvet upper, classic PUMA Formstrip and gold metallic PUMA Basket callout at the side to celebrate a new era of style.","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/01/sv01/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/01/mod03/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/01/mod01/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/01/mod02/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/01/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/01/bv/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/01/sv02/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/01/sv03/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/01/sv04/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers",Puma,Basket Classic Velvet Women's Sneakers,$80.00,"[5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0]",https://us.puma.com/us/en/pd/basket-classic-velvet-womens-sneakers/398949?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
Dark Jasper-Puma Team Gold-PUMA White,"A true classic from the PUMA Archives- the Basket Classic is updated for the 21st century in this fresh iteration. The signature court-inspired style features a clean velvet upper, classic PUMA Formstrip and gold metallic PUMA Basket callout at the side to celebrate a new era of style.","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/02/sv01/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/02/mod03/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/02/mod01/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/02/mod02/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/02/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/02/bv/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/02/sv02/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/02/sv03/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/398949/02/sv04/fnd/PNA/fmt/png/Basket-Classic-Velvet-Women's-Sneakers",Puma,Basket Classic Velvet Women's Sneakers,$80.00,"[5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0]",https://us.puma.com/us/en/pd/basket-classic-velvet-womens-sneakers/398949?swatch=02&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
Puma Black-Puma White,Product runs in men's sizes. Women's sizes are converted from men's sizes.,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/01/sv01/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/01/mod03/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/01/mod01/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/01/mod02/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/01/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/01/bv/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/01/sv02/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/01/sv03/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/01/sv04/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/01/dt04/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/01/dt05/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers",Puma,Suede Classic XXI Sneakers,$75.00,"[4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.5]",https://us.puma.com/us/en/pd/suede-classic-xxi-sneakers/374915?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
Myrtle-Fall Foliage,"Back in the ‘80s, the original RS (short for “running system”) was PUMA’s innovative cushioning technology. Today, the RS has reinvented itself in the RS-X, featuring a bulky design and fresh material mixes. RS-X Camo Dye, a new addition to the RS-X franchise, showcases a bold camo colorway that will have you sticking out and blending in at the same time.","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/396075/01/sv01/fnd/PNA/fmt/png/RS-X-Camo-Dye-Men's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/396075/01/mod03/fnd/PNA/fmt/png/RS-X-Camo-Dye-Men's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/396075/01/mod01/fnd/PNA/fmt/png/RS-X-Camo-Dye-Men's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/396075/01/mod02/fnd/PNA/fmt/png/RS-X-Camo-Dye-Men's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/396075/01/fnd/PNA/fmt/png/RS-X-Camo-Dye-Men's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/396075/01/bv/fnd/PNA/fmt/png/RS-X-Camo-Dye-Men's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/396075/01/sv02/fnd/PNA/fmt/png/RS-X-Camo-Dye-Men's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/396075/01/sv03/fnd/PNA/fmt/png/RS-X-Camo-Dye-Men's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/396075/01/sv04/fnd/PNA/fmt/png/RS-X-Camo-Dye-Men's-Sneakers",Puma,RS-X Camo Dye Men's Sneakers,$62.99,"[7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 13.0, 14.0]",https://us.puma.com/us/en/pd/rs-x-camo-dye-mens-sneakers/396075?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
Icy Blue-PUMA White,"The Suede hit the scene in 1968 and has been changing the game ever since. It’s been worn by the icons of every generation and it’s stayed classic through it all. This year, we relaunch the Suede with fresh colorways and subtle design updates. Classic as ever.","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/381410/85/sv01/fnd/PNA/fmt/png/Suede-Classic-XXI-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/381410/85/mod03/fnd/PNA/fmt/png/Suede-Classic-XXI-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/381410/85/mod01/fnd/PNA/fmt/png/Suede-Classic-XXI-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/381410/85/mod02/fnd/PNA/fmt/png/Suede-Classic-XXI-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/381410/85/fnd/PNA/fmt/png/Suede-Classic-XXI-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/381410/85/bv/fnd/PNA/fmt/png/Suede-Classic-XXI-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/381410/85/sv02/fnd/PNA/fmt/png/Suede-Classic-XXI-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/381410/85/sv03/fnd/PNA/fmt/png/Suede-Classic-XXI-Women's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/381410/85/sv04/fnd/PNA/fmt/png/Suede-Classic-XXI-Women's-Sneakers",Puma,Suede Classic XXI Women's Sneakers,$34.99,"[5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0]",https://us.puma.com/us/en/pd/suede-classic-xxi-womens-sneakers/381410?swatch=85&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
Puma Black-Puma Black,Product runs in men's sizes. Women's sizes are converted from men's sizes.,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/12/sv01/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/12/mod03/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/12/mod01/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/12/mod02/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/12/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/12/bv/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/12/sv02/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/12/sv03/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/12/sv04/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers",Puma,Suede Classic XXI Sneakers,$75.00,"[4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.5]",https://us.puma.com/us/en/pd/suede-classic-xxi-sneakers/374915?swatch=12&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
Peacoat-Puma White,Product runs in men's sizes. Women's sizes are converted from men's sizes.,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/04/sv01/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/04/mod03/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/04/mod01/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/04/mod02/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/04/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/04/bv/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/04/sv02/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/04/sv03/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/04/sv04/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/04/dt04/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers",Puma,Suede Classic XXI Sneakers,$75.00,"[4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.5]",https://us.puma.com/us/en/pd/suede-classic-xxi-sneakers/374915?swatch=04&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
Day Dream-Evening Sky-PUMA White,Product runs in men's sizes. Women's sizes are converted from men's sizes.,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/394981/01/sv01/fnd/PNA/fmt/png/RS-X-Faded-Daytona-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/394981/01/mod03/fnd/PNA/fmt/png/RS-X-Faded-Daytona-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/394981/01/mod01/fnd/PNA/fmt/png/RS-X-Faded-Daytona-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/394981/01/mod02/fnd/PNA/fmt/png/RS-X-Faded-Daytona-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/394981/01/fnd/PNA/fmt/png/RS-X-Faded-Daytona-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/394981/01/bv/fnd/PNA/fmt/png/RS-X-Faded-Daytona-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/394981/01/sv02/fnd/PNA/fmt/png/RS-X-Faded-Daytona-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/394981/01/sv03/fnd/PNA/fmt/png/RS-X-Faded-Daytona-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/394981/01/sv04/fnd/PNA/fmt/png/RS-X-Faded-Daytona-Sneakers",Puma,RS-X Faded Daytona Sneakers,$63.99,"[4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.5]",https://us.puma.com/us/en/pd/rs-x-faded-daytona-sneakers/394981?swatch=01&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
Cabernet-Puma White,Product runs in men's sizes. Women's sizes are converted from men's sizes.,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/06/sv01/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/06/mod03/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/06/mod01/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/06/mod02/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/06/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/06/bv/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/06/sv02/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/06/sv03/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/374915/06/sv04/fnd/PNA/fmt/png/Suede-Classic-XXI-Sneakers",Puma,Suede Classic XXI Sneakers,$75.00,"[4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.5]",https://us.puma.com/us/en/pd/suede-classic-xxi-sneakers/374915?swatch=06&referrer-category=puma-shop-all-shoes,https://us.puma.com/us/en/puma/shop-all-shoes
