color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
Chalk / Paperwhite / Glen Green,Classic court-inspired style with a clean look,"https://reebok.bynder.com/transform/535ef73b-8bfa-4a40-b05c-5137540b2269/100000317_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/b8f0b17d-40b6-4ac6-a889-01b37a2b287b/100000317_SMC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/91175606-4739-42fa-a7e3-7bbf509b0de0/100000317_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/ae423c95-95e1-452e-9831-68fbf33330bb/100000317_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/46d0062b-6f96-40dd-b9bd-6ea00ed713fb/100000317_MP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/e67ff5c3-f736-4d55-b87c-6e31024dcf7b/100000317_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/00e4bb4a-c7f2-4d3e-ab31-decbb3f26a87/100000317_D2_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/f6f261ec-bf16-4656-b9f4-f5dd3b62fa3c/100000317_D3_eCom-tif?io=transform:scale,width:600,,",Reebok,Club C 85 Vintage Shoes,90,"M 3.5 / W 5,M 4 / W 5.5,M 4.5 / W 6,M 5 / W 6.5,M 5.5 / W 7,M 6 / W 7.5,M 6.5 / W 8,M 7 / W 8.5,M 7.5 / W 9,M 8 / W 9.5,M 8.5 / W 10,M 9 / W 10.5,M 9.5 / W 11,M 10 / W 11.5,M 10.5 / W 12,M 11 / W 12.5,M 11.5 / W 13,M 12 / W 13.5,M 12.5 / W 14,M 13 / W 14.5,M 14 / W 15.5,M 15 / W 16.5",https://www.reebok.com/p/100000317/club-c-85-vintage-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Chalk / Alabaster / Vector Navy,Classic court-inspired style with a clean look,"https://reebok.bynder.com/transform/4d423bb9-964a-4385-b7a5-5f68e7c8927b/100007796_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/60545f08-f4a7-47ed-a10d-c7c14676c396/100007796_SMC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/8039e416-9932-4998-86e4-04c1931d3884/100007796_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/c5ad19ca-7f59-4bff-b78c-43fc97e41a1e/100007796_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/46bb2091-70a8-49db-8c84-ae0bdeed0415/100007796_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/543c34bc-fc94-437f-9f24-e1bcc376cf9f/100007796_BT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/52ad3bc6-16c8-4c27-a954-54fbd8e09b06/100007796_MP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/5b7f23a8-1d93-42f9-b470-a4ebceb85567/100007796_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/36ac75de-a175-42fd-8668-eb0aa37c78db/100007796_D2_eCom-tif?io=transform:scale,width:600,,",Reebok,Club C 85 Vintage Shoes,90,"M 3.5 / W 5,M 4 / W 5.5,M 4.5 / W 6,M 5 / W 6.5,M 5.5 / W 7,M 6 / W 7.5,M 6.5 / W 8,M 7 / W 8.5,M 7.5 / W 9,M 8 / W 9.5,M 8.5 / W 10,M 9 / W 10.5,M 9.5 / W 11,M 10 / W 11.5,M 10.5 / W 12,M 11 / W 12.5,M 11.5 / W 13,M 12 / W 13.5,M 12.5 / W 14,M 13 / W 14.5,M 14 / W 15.5,M 15 / W 16.5",https://www.reebok.com/p/100007796/club-c-85-vintage-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Vector Navy / Ftwr White / Reebok Rubber Gum-03,Retro-inspired shoes with a Union Jack logo,"https://reebok.bynder.com/transform/0e452304-22bd-4a07-8c9a-a14a5d277296/100008791_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/116017eb-f046-47ce-9bb6-887077423724/100008791_SMC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/31204f60-fd5a-4d46-88f5-4cd8f63f8415/100008791_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/59a3b658-ea90-41a0-a4c3-1e408df37bda/100008791_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/0b6393dd-bb71-4621-8c5a-082a4a5fe897/100008791_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/04f6f48d-2b25-4bdf-967c-3f90ad94f2f2/100008791_BT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/d15aa15a-77cc-4fbe-b6e3-4d4f49521224/100008791_MP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/d5fd918b-4a0d-4746-a241-f6993402ce18/100008791_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/4be927bf-4641-4a40-a81a-4404e301c772/100008791_D2_eCom-tif?io=transform:scale,width:600,,",Reebok,Classic Leather Shoes,80,"M 3.5 / W 5,M 4 / W 5.5,M 4.5 / W 6,M 5 / W 6.5,M 5.5 / W 7,M 6 / W 7.5,M 6.5 / W 8,M 7 / W 8.5,M 7.5 / W 9,M 8 / W 9.5,M 8.5 / W 10,M 9 / W 10.5,M 9.5 / W 11,M 10 / W 11.5,M 10.5 / W 12,M 11 / W 12.5,M 11.5 / W 13,M 12 / W 13.5,M 12.5 / W 14,M 13 / W 14.5,M 14 / W 15.5,M 15 / W 16.5,M 16 / W 17.5,M 17 / W 18.5,M 18 / W 19.5",https://www.reebok.com/p/100008791/classic-leather-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Core Black / Pure Grey 6 / Neon Cherry,Versatile training shoes for the gym and beyond,"https://reebok.bynder.com/transform/5ae988c9-8908-4779-972f-bba148f9a2c4/100033330_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/fef55ed4-0fb4-4291-9de7-02dde0140e87/100033330_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/e697842c-d657-4ed4-9570-f68547f84282/100033330_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/98212ea9-67dd-48ac-aa58-52ed920c10c1/100033330_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/cbbeb4cb-7f10-4288-afd8-85ab3d073604/100033330_BT_eCom-tif?io=transform:scale,width:600,,",Reebok,NFX Training Shoes,75,"6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14",https://www.reebok.com/p/100033330/nfx-training-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Chalk / Alabaster / Essential Blue,Classic court-inspired style with a clean look,"https://reebok.bynder.com/transform/1ad4c53e-5d46-4e19-9920-d8ff1d0a1d18/100007794_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/1cd9fe7b-10b6-4240-a9a0-c629e66935d6/100007794_SMC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/3a7f2039-33d0-42a7-a091-ffd77c85b63e/100007794_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/272f6963-08d7-4ef0-9089-95c1fcfc8c6f/100007794_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/23035218-e6b2-4b34-815e-2f7d2ade9442/100007794_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/3de30ef5-1b8c-4241-83c6-404cb50cb922/100007794_BT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/c27e24e5-20aa-44c1-8485-98f0bd7c52da/100007794_MP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/5c1b3775-806d-4a6b-97e0-a56cd7fc2e4a/100007794_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/d8957e3e-6b27-4fa9-9b55-e49813f1bdbb/100007794_D2_eCom-tif?io=transform:scale,width:600,,",Reebok,Club C 85 Vintage Shoes,90,"M 3.5 / W 5,M 4 / W 5.5,M 4.5 / W 6,M 5 / W 6.5,M 5.5 / W 7,M 6 / W 7.5,M 6.5 / W 8,M 7 / W 8.5,M 7.5 / W 9,M 8 / W 9.5,M 8.5 / W 10,M 9 / W 10.5,M 9.5 / W 11,M 10 / W 11.5,M 10.5 / W 12,M 11 / W 12.5,M 11.5 / W 13,M 12 / W 13.5,M 12.5 / W 14,M 13 / W 14.5,M 14 / W 15.5,M 15 / W 16.5",https://www.reebok.com/p/100007794/club-c-85-vintage-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Pure Grey 5 / Ftwr White / Reebok Rubber Gum-03,Retro-inspired shoes with a Union Jack logo,"https://reebok.bynder.com/transform/e601c3c1-fbaa-4720-9980-b91e0c165682/100008790_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/d4ee1d65-a5d2-4af9-b312-9b48ac75ed26/100008790_SMC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/77f71cf3-222d-4aa4-8caf-e385759cf227/100008790_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/f660bfed-6bb5-4202-8464-8a5260f25ccf/100008790_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/a7a73f26-fa16-4609-ab6b-7649d5c1fdb3/100008790_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/078ade5d-7973-4ea1-b997-01d915e1dc2f/100008790_BT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/6305bfd5-02c4-41ca-9824-4a81f263e3d8/100008790_MP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/7e8cd1da-5a67-4231-ba99-acb8a037e612/100008790_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/e1421803-a8ce-4974-8d05-53fe5787a284/100008790_D2_eCom-tif?io=transform:scale,width:600,,",Reebok,Classic Leather Shoes,80,"M 3.5 / W 5,M 4 / W 5.5,M 4.5 / W 6,M 5 / W 6.5,M 5.5 / W 7,M 6 / W 7.5,M 6.5 / W 8,M 7 / W 8.5,M 7.5 / W 9,M 8 / W 9.5,M 8.5 / W 10,M 9 / W 10.5,M 9.5 / W 11,M 10 / W 11.5,M 10.5 / W 12,M 11 / W 12.5,M 11.5 / W 13,M 12 / W 13.5,M 12.5 / W 14,M 13 / W 14.5,M 14 / W 15.5,M 15 / W 16.5,M 16 / W 17.5,M 17 / W 18.5,M 18 / W 19.5",https://www.reebok.com/p/100008790/classic-leather-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Chalk / Alabaster / Maroon,Classic court-inspired style with a clean look,"https://reebok.bynder.com/transform/c80308a1-5b46-4176-be34-33a48a8e0207/100007795_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/47553c89-b487-4380-ad16-cdba455e9d2b/100007795_SMC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/81374673-f108-4742-b4c1-b72faea7d1fa/100007795_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/83a8f074-66c8-47ec-a337-0524f26ee6a1/100007795_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/0c2a94ad-e647-4d3d-8dc6-7b19ea0d199e/100007795_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/235ca1a3-b476-4ad1-929a-e260f184f613/100007795_BT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/cf9b11ec-1b27-481d-996c-da8f3f396223/100007795_MP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/b41d9883-2b10-408f-9b1b-0de649ea5f3d/100007795_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/3d4ee5e3-8f4d-42a5-a3a4-5ad25a8f78b1/100007795_D2_eCom-tif?io=transform:scale,width:600,,",Reebok,Club C 85 Vintage Shoes,90,"M 3.5 / W 5,M 4 / W 5.5,M 4.5 / W 6,M 5 / W 6.5,M 5.5 / W 7,M 6 / W 7.5,M 6.5 / W 8,M 7 / W 8.5,M 7.5 / W 9,M 8 / W 9.5,M 8.5 / W 10,M 9 / W 10.5,M 9.5 / W 11,M 10 / W 11.5,M 10.5 / W 12,M 11 / W 12.5,M 11.5 / W 13,M 12 / W 13.5,M 12.5 / W 14,M 13 / W 14.5,M 14 / W 15.5,M 15 / W 16.5",https://www.reebok.com/p/100007795/club-c-85-vintage-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Core Black / Pure Grey 7 / Reebok Lee 3,Versatile fitness shoes with a supportive build,"https://reebok.bynder.com/transform/762d2412-5166-4643-9775-71bfd78fcb74/100062512_H1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/e31225a4-a343-4953-b003-2d89d2eadbd3/100062512_H2_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/a3fe0110-651c-48bd-ab6d-af79dbad2348/100062512_H3_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/78d045c1-391d-4f7c-b3d7-cf13427be9e7/100062512_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/8d125899-6507-4a44-8891-2e373e1423e4/100062512_SMC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/2dced8d4-3e3f-4ede-be21-0f809f0ef258/100062512_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/5a021270-9f6d-4f61-8b2d-a36c0a5c3727/100062512_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/7e477b10-15c9-4fef-bddd-0e9dfa402fc7/100062512_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/6ea49b32-d6b4-4877-8527-89927b2d03cb/100062512_BT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/38c9ed8d-514b-46ed-9b92-4dec08272124/100062512_MP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/c6314bd6-f531-42c3-b29b-9f28fadf26e2/100062512_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/4de31ea5-a059-4c76-8171-877d1a113704/100062512_D2_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/762d2412-5166-4643-9775-71bfd78fcb74/100062512_H1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/e31225a4-a343-4953-b003-2d89d2eadbd3/100062512_H2_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/a3fe0110-651c-48bd-ab6d-af79dbad2348/100062512_H3_eCom-tif?io=transform:scale,width:600,,",Reebok,Nano X3 Training Shoes,140,"M 4 / W 5.5,M 4.5 / W 6,M 5 / W 6.5,M 5.5 / W 7,M 6 / W 7.5,M 6.5 / W 8,M 7 / W 8.5,M 7.5 / W 9,M 8 / W 9.5,M 8.5 / W 10,M 9 / W 10.5,M 9.5 / W 11,M 10 / W 11.5,M 10.5 / W 12,M 11 / W 12.5,M 11.5 / W 13,M 12 / W 13.5,M 12.5 / W 14,M 13 / W 14.5,M 14 / W 15.5,M 15 / W 16.5",https://www.reebok.com/p/100062512/nano-x3-training-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Vector Red / Ftwr White / Reebok Rubber Gum-03,Retro-inspired shoes with a Union Jack logo,"https://reebok.bynder.com/transform/4f6b07e8-6c64-4e66-8c5a-d46439d86e14/100008792_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/6ead4ab9-93b9-43c7-88e6-e0e9692048ce/100008792_SMC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/4b07047d-f2e3-4e27-99c3-41578d3806c1/100008792_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/f0c9283d-6b13-48cf-b0ae-076e1350a8c1/100008792_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/5797d727-ec2f-479a-b867-ba92245fb603/100008792_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/ec9d2423-c6fd-4c14-a954-bc3d955d1f94/100008792_BT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/20c575d6-4678-41b8-8adc-e2bbec58a8b9/100008792_MP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/2fd29b59-240d-4261-a2d9-4e9527ddb58f/100008792_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/8ba1c620-7b1b-4ce1-a52b-7af706589d0d/100008792_D2_eCom-tif?io=transform:scale,width:600,,",Reebok,Classic Leather Shoes,80,"M 3.5 / W 5,M 4 / W 5.5,M 4.5 / W 6,M 5 / W 6.5,M 5.5 / W 7,M 6 / W 7.5,M 6.5 / W 8,M 7 / W 8.5,M 7.5 / W 9,M 8 / W 9.5,M 8.5 / W 10,M 9 / W 10.5,M 9.5 / W 11,M 10 / W 11.5,M 10.5 / W 12,M 11 / W 12.5,M 11.5 / W 13,M 12 / W 13.5,M 12.5 / W 14,M 13 / W 14.5,M 14 / W 15.5,M 15 / W 16.5,M 16 / W 17.5,M 17 / W 18.5,M 18 / W 19.5",https://www.reebok.com/p/100008792/classic-leather-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
White / Neon Cherry / Electric Cobalt,Versatile fitness shoes with a supportive build,"https://reebok.bynder.com/transform/c15ae878-6063-43d2-8369-ea8d27e4b6bd/100073363_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/f95c510b-07b0-4b22-a853-db4158a3f541/100073363_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/9c5bcd3f-d8e0-49df-9c99-3cda9130f45f/100073363_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/caadd5cf-0b3f-44f3-a580-177689c951a6/100073363_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/3c6661fa-e2c5-4778-bbf5-35953f89dbba/100073363_BT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/e3b8e3b4-c6ab-45ca-897d-8f315f527edb/100073363_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/2f7fbd97-80c8-4dce-9880-5c2814b8ea5e/100073363_D2_eCom-tif?io=transform:scale,width:600,,",Reebok,Nano X3 Training Shoes,140,"M 4 / W 5.5,M 4.5 / W 6,M 5 / W 6.5,M 5.5 / W 7,M 6 / W 7.5,M 6.5 / W 8,M 7 / W 8.5,M 7.5 / W 9,M 8 / W 9.5,M 8.5 / W 10,M 9 / W 10.5,M 9.5 / W 11,M 10 / W 11.5,M 10.5 / W 12,M 11 / W 12.5,M 11.5 / W 13,M 12 / W 13.5,M 12.5 / W 14,M 13 / W 14.5,M 14 / W 15.5,M 15 / W 16.5",https://www.reebok.com/p/100073363/nano-x3-training-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
