color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
Beta / Red - 600,Curry Brand Shoes and Gear,"https://underarmour.scene7.com/is/image/Underarmour/3026620-600_A?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3026620-600_TOE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3026620-600_PAIR?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3026620-600_SOLE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688",Reebok,Unisex Curry 4 Low FloTro Basketball Shoes,$130.00,"M7 / W8.5,M7.5 / W9,M8 / W9.5,M8.5 / W10,M9 / W10.5,M9.5 / W11,M10 / W11.5,M10.5 / W12,M11 / W12.5,M11.5 / W13,M12 / W13.5,M12.5 / W14,M13 / W14.5,M13.5 / W15,M14 / W15.5,M14.5 / W16,M15 / W16.5,M16 / W17.5,M17 / W18.5,18/19.5",https://www.underarmour.com/en-us/p/curry_brand_shoes_and_gear/unisex_curry_4_low_flotro_basketball_shoes/3026620.html?dwvar_3026620_color=600,https://www.underarmour.com/en-us/c/shoes/
White / Rebel Pink - 102,"Kids,Boys,Shoes,Running & Training","https://underarmour.scene7.com/is/image/Underarmour/3028566-102_DEFAULT?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3028566-102_A?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3028566-102_TOE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3028566-102_PAIR?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688",Reebok,Grade School UA SlipSpeed™ Training Shoes,$100.00,"3.5,4,4.5,5,5.5,6,6.5,7",https://www.underarmour.com/en-us/p/running_and_training/grade_school_ua_slipspeed_training_shoes/3028566.html?dwvar_3028566_color=102,https://www.underarmour.com/en-us/c/shoes/
White / Red - 100,"Kids,Boys,Shoes,Running & Training","https://underarmour.scene7.com/is/image/Underarmour/3028629-100_DEFAULT?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3028629-100_A?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3028629-100_TOE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3028629-100_PAIR?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688",Reebok,Grade School UA SlipSpeed™ Camo Training Shoes,$100.00,"3.5,4,4.5,5,5.5,6,6.5,7",https://www.underarmour.com/en-us/p/running_and_training/grade_school_ua_slipspeed_camo_training_shoes/3028629.html?dwvar_3028629_color=100,https://www.underarmour.com/en-us/c/shoes/
Capri / Metallic Gold - 404,Curry Brand Shoes and Gear,"https://underarmour.scene7.com/is/image/Underarmour/1298306-404_A?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/1298306-404_TOE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/1298306-404_PAIR?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/1298306-404_SOLE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688",Reebok,Men's UA Curry 4 Retro Basketball Shoes,$150.00,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,15,16",https://www.underarmour.com/en-us/p/curry_brand_shoes_and_gear/mens_ua_curry_4_retro_basketball_shoes/1298306.html?dwvar_1298306_color=404,https://www.underarmour.com/en-us/c/shoes/
Black / Halo Gray / Steel - 001,"Kids,Boys,Shoes,Running & Training","https://underarmour.scene7.com/is/image/Underarmour/3028567-001_A?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3028567-001_TOE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3028567-001_PAIR?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3028567-001_SOLE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688",Reebok,Grade School UA SlipSpeed™ Training Shoes,$100.00,"3.5,4,4.5,5,5.5,6,6.5,7",https://www.underarmour.com/en-us/p/running_and_training/grade_school_ua_slipspeed_training_shoes/3028567.html?dwvar_3028567_color=001,https://www.underarmour.com/en-us/c/shoes/
White / Black - 100,Curry Brand Shoes and Gear,"https://underarmour.scene7.com/is/image/Underarmour/3026624-100_A?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3026624-100_TOE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3026624-100_PAIR?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3026624-100_SOLE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688",Reebok,Unisex Curry Flow 10 Team Basketball Shoes,$160.00,"M15.5 / W17,M16.5 / W18,17.5/19,M3.5 / W5,M4 / W5.5,M4.5 / W6,M5 / W6.5,M5.5 / W7,M6 / W7.5,M6.5 / W8,M7 / W8.5,M7.5 / W9,M8 / W9.5,M8.5 / W10,M9 / W10.5,M9.5 / W11,M10 / W11.5,M10.5 / W12,M11 / W12.5,M11.5 / W13,M12 / W13.5,M12.5 / W14,M13 / W14.5,M13.5 / W15,M14 / W15.5,M14.5 / W16,M15 / W16.5,M16 / W17.5,M17 / W18.5,18/19.5",https://www.underarmour.com/en-us/p/curry_brand_shoes_and_gear/unisex_curry_flow_10_team_basketball_shoes/3026624.html?dwvar_3026624_color=100,https://www.underarmour.com/en-us/c/shoes/
Black / White - 001,"Kids,Boys,Shoes,Running & Training","https://underarmour.scene7.com/is/image/Underarmour/3028565-001_A?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3028565-001_TOE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3028565-001_PAIR?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3028565-001_SOLE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688",Reebok,Grade School UA SlipSpeed™ Training Shoes,$100.00,"3.5,4,4.5,5,5.5,6,6.5,7",https://www.underarmour.com/en-us/p/running_and_training/grade_school_ua_slipspeed_training_shoes/3028565.html?dwvar_3028565_color=001,https://www.underarmour.com/en-us/c/shoes/
Black / Stealth Gray / Neptune - 001,"Women,Shoes,Training","https://underarmour.scene7.com/is/image/Underarmour/3026535-001_A?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3026535-001_TOE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3026535-001_PAIR?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3026535-001_SOLE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688",Reebok,Women's Project Rock 6 Training Shoes,$160.00,"5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,12",https://www.underarmour.com/en-us/p/training/womens_project_rock_6_training_shoes/3026535.html?dwvar_3026535_color=001,https://www.underarmour.com/en-us/c/shoes/
Black / Stealth Gray / Neptune - 002,"Men,Shoes,Training","https://underarmour.scene7.com/is/image/Underarmour/3026534-002_A?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3026534-002_TOE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3026534-002_PAIR?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3026534-002_SOLE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688",Reebok,Men's Project Rock 6 Training Shoes,$160.00,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,14.5,15",https://www.underarmour.com/en-us/p/training/mens_project_rock_6_training_shoes/3026534.html?dwvar_3026534_color=002,https://www.underarmour.com/en-us/c/shoes/
White / Halo Gray / Black - 100,"Shoes,Basketball","https://underarmour.scene7.com/is/image/Underarmour/3026843-100_A?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3026843-100_TOE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3026843-100_PAIR?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688,https://underarmour.scene7.com/is/image/Underarmour/3026843-100_SOLE?rp=standard-30pad%7CpdpMainDesktop&scl=1&fmt=jpg&qlt=75&resMode=sharp2&cache=on%2Con&bgc=f0f0f0&wid=566&hei=708&size=536%2C688",Reebok,Unisex UA Jet '23 Wide Basketball Shoes,$80.00,"M3.5 / W5,M4 / W5.5,M4.5 / W6,M5 / W6.5,M5.5 / W7,M6 / W7.5,M6.5 / W8,M7 / W8.5,M7.5 / W9,M8 / W9.5,M8.5 / W10,M9 / W10.5,M9.5 / W11,M10 / W11.5,M10.5 / W12,M11 / W12.5,M11.5 / W13,M12 / W13.5,M12.5 / W14,M13 / W14.5,M13.5 / W15,M14 / W15.5,M15 / W16.5,M16 / W17.5,M17 / W18.5,18/19.5",https://www.underarmour.com/en-us/p/basketball/unisex_ua_jet_23_wide_basketball_shoes/3026843.html?dwvar_3026843_color=100,https://www.underarmour.com/en-us/c/shoes/
