color,descripcion,imagenes,marca,modelo,precio,tallas,url_calzado,url_raiz
Court Brown / Core Black / Stucco,Performance training shoes created with Rich Froning Jr.,"https://reebok.bynder.com/transform/58169182-71aa-47b8-bf46-3c8ce2efd051/100033065_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/8aa32aee-a20d-48dd-8fa2-1c9c7fc78505/100033065_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/d39e233e-6f9b-4b4e-9b1a-be36100fc81b/100033065_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/2eb7e30a-0a8b-4730-b9bf-7f28cd91e98d/100033065_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/485b739f-6c5d-4746-9d4d-7e4708f0dd5a/100033065_BT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/b5f25f2e-a828-47f1-a9bf-cfdb8a749b05/100033065_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/ffef213e-2f4a-4337-b0f9-5563a00d7662/100033065_D2_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/fee1d4e3-2b37-4d39-9b3a-17604504322d/100033065_D3_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/1c8d00e4-2f37-49b6-aee0-879e6ab2dba9/100033065_D4_eCom-tif?io=transform:scale,width:600,,",Reebok,Nano X3 Froning Training Shoes,"$,150","M 4 / W 5.5,M 4.5 / W 6,M 5 / W 6.5,M 5.5 / W 7,M 6 / W 7.5,M 6.5 / W 8,M 7 / W 8.5,M 7.5 / W 9,M 8 / W 9.5,M 8.5 / W 10,M 9 / W 10.5,M 9.5 / W 11,M 10 / W 11.5,M 10.5 / W 12,M 11 / W 12.5,M 11.5 / W 13,M 12 / W 13.5,M 13 / W 14.5,M 14 / W 15.5",https://www.reebok.com/p/100033065/nano-x3-froning-training-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Core Black / Hoops Blue / Court Brown,Versatile training shoes with a breathable upper and grippy outsole,"https://reebok.bynder.com/transform/11f5cdaa-8912-4403-8fe2-d2a31a713963/100033332_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/ebbf7c4c-02ea-44c6-90aa-c3d9a5cbee3e/100033332_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/804a9065-4376-4685-8dc0-0b7b8badd011/100033332_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/20d5a6ba-70bf-4ab4-b184-dfd099826aa2/100033332_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/7d22fec2-f711-45d7-ab9e-7d6a813563b1/100033332_BT_eCom-tif?io=transform:scale,width:600,,",Reebok,Nanoflex Adventure TR 2.0 Men's Training Shoes,"$,100","6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14",https://www.reebok.com/p/100033332/nanoflex-adventure-tr-2-0-men-s-training-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Pure Grey 6 / Core Black / White,Lightweight training shoes with responsive cushioning,"https://reebok.bynder.com/transform/21b99e0e-f94c-4fa0-b780-a3379bb58054/100033359_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/4d7504b6-30bb-4a3f-8b70-d085c7a052a4/100033359_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/e2ab3943-7441-480a-bf76-1e9ee2752eaa/100033359_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/de275415-320c-4981-ae2c-a5da34dc3961/100033359_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/19b23968-680d-421b-ac2b-ce9579e7b7c1/100033359_BT_eCom-tif?io=transform:scale,width:600,,",Reebok,Flexagon Energy 4 Men's Training Shoes,"$,65","6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14",https://www.reebok.com/p/100033359/flexagon-energy-4-men-s-training-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Grout / Boulder Beige / Laser Pink,Y2K-inspired shoes with a contrast outsole,"https://reebok.bynder.com/transform/411d74f7-488d-4ea2-9a85-bb8ba60c5148/100033732_H1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/24456684-a5f0-4ab4-b293-137f6c7b1022/100033732_H2_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/7102cbb0-ea40-473a-855b-478d8d9aa05f/100033732_H3_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/fd6d209f-cea5-42c9-8933-8ccca6e243a5/100033732_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/c2a98094-21ac-4f64-acab-155274e0311f/100033732_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/b665e6fa-e8f3-43a1-8176-f3559716361b/100033732_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/06b1ef67-5c03-451f-b08e-809629f679f1/100033732_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/772b4da6-f752-4a3e-a34d-514c79c345a4/100033732_BT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/8202de75-70ca-4789-ac2b-fcb150586ee3/100033732_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/e78f4371-d883-4e80-aef2-abcc790925ed/100033732_D2_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/411d74f7-488d-4ea2-9a85-bb8ba60c5148/100033732_H1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/24456684-a5f0-4ab4-b293-137f6c7b1022/100033732_H2_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/7102cbb0-ea40-473a-855b-478d8d9aa05f/100033732_H3_eCom-tif?io=transform:scale,width:600,,",Reebok,Club C Bulc Shoes,"$,90","M 3.5 / W 5,M 4 / W 5.5,M 4.5 / W 6,M 5 / W 6.5,M 5.5 / W 7,M 6 / W 7.5,M 6.5 / W 8,M 7 / W 8.5,M 7.5 / W 9,M 8 / W 9.5,M 8.5 / W 10,M 9 / W 10.5,M 9.5 / W 11,M 10 / W 11.5,M 10.5 / W 12,M 11 / W 12.5,M 11.5 / W 13,M 12 / W 13.5,M 12.5 / W 14",https://www.reebok.com/p/100033732/club-c-bulc-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Cement / Pure Grey / Boldly Yellow,Trail-inspired shoes created with Spyder,"https://reebok.bynder.com/transform/880a2bdc-97d4-4ce0-8d99-0930f497ea77/100200368_H1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/970adfd1-0102-4970-aa3a-d75c5cde1618/100200368_H2_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/cf66772b-d129-4722-a85b-549f73ddcc92/100200368_H3_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/05d93028-33de-40a4-9ce9-79ad7df2b49d/100200368_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/047ae069-9ab6-4a0c-934a-1e84ab55325a/100200368_H1_ECOM?io=transform:scale,width:600,https://reebok.bynder.com/transform/6294ac81-53fe-451b-b515-16a9c05200fe/100200368_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/318173b6-39ad-4d28-80e8-cbb71d7190b7/100200368_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/b4085081-6ba1-465e-982a-1da3a291f5e7/100200368_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/12f3fe76-9dae-4d4c-881c-11ca6da9b478/100200368_BT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/f787f9fb-23ad-47e5-9ce0-36c621e0569c/100200368_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/ffffde70-9ab6-4eb2-a8bd-c37be7fcc35d/100200368_D2_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/880a2bdc-97d4-4ce0-8d99-0930f497ea77/100200368_H1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/970adfd1-0102-4970-aa3a-d75c5cde1618/100200368_H2_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/cf66772b-d129-4722-a85b-549f73ddcc92/100200368_H3_eCom-tif?io=transform:scale,width:600,,",Reebok,Spyder x Reebok Classic Leather Trail Shoes,"$,120","M 3.5 / W 5,M 4 / W 5.5,M 4.5 / W 6,M 5 / W 6.5,M 5.5 / W 7,M 6 / W 7.5,M 6.5 / W 8,M 7 / W 8.5,M 7.5 / W 9,M 8 / W 9.5,M 8.5 / W 10,M 9 / W 10.5,M 9.5 / W 11,M 10 / W 11.5,M 10.5 / W 12,M 11 / W 12.5,M 11.5 / W 13,M 12 / W 13.5,M 12.5 / W 14,M 13 / W 14.5,M 14 / W 15.5,M 15 / W 16.5",https://www.reebok.com/p/100200368/spyder-x-reebok-classic-leather-trail-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Chalk / Radiant Ochre / Black,Vintage-inspired shoes to show your hoops DNA,"https://reebok.bynder.com/transform/1304dfc7-6f86-4e3a-a29f-25e6ff56e736/100033432_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/79380339-beaa-48db-aa75-f0e5bb9e69ab/100033432_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/a10ae980-90d7-4910-80c2-b0e30277df1c/100033432_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/067873e8-7439-4ca4-a449-c2ee38d38369/100033432_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/1057f4ac-e3c0-4d20-9493-9ba43c3a92c0/100033432_BT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/93662021-c7ea-41da-a14a-577fb43fd054/100033432_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/b268b98d-51e8-4c6b-ab8e-0c62b4b0b662/100033432_D2_eCom-tif?io=transform:scale,width:600,,",Reebok,BB 4000 II Shoes,"$,90","M 3.5 / W 5,M 4 / W 5.5,M 4.5 / W 6,M 5 / W 6.5,M 5.5 / W 7,M 6 / W 7.5,M 6.5 / W 8,M 7 / W 8.5,M 7.5 / W 9,M 8 / W 9.5,M 8.5 / W 10,M 9 / W 10.5,M 9.5 / W 11,M 10 / W 11.5,M 10.5 / W 12,M 11 / W 12.5,M 11.5 / W 13,M 12 / W 13.5,M 13 / W 14.5,M 14 / W 15.5,M 15 / W 16.5",https://www.reebok.com/p/100033432/bb-4000-ii-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Core Black / Court Brown / Neon Cherry,Versatile fitness shoes with a supportive build,"https://reebok.bynder.com/transform/c7ed8bd1-d317-47a7-8acf-7236d38dbcae/100033788_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/a71b6f8a-c57f-42d6-b639-a9ec63381504/100033788_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/bb629b1d-d9f2-480e-8514-3e56ff74d784/100033788_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/d6553769-f425-4c28-8de6-d4cbbac2bc7d/100033788_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/1d15d49b-d14f-4be8-ae96-a1a36a177860/100033788_BT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/35e3db96-0362-4c5a-aef8-641bef4e1a59/100033788_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/78502bc0-5e7e-4383-bf79-72898228d158/100033788_D2_eCom-tif?io=transform:scale,width:600,,",Reebok,Nano X3 Training Shoes,"$,150","M 4 / W 5.5,M 4.5 / W 6,M 5 / W 6.5,M 5.5 / W 7,M 6 / W 7.5,M 6.5 / W 8,M 7 / W 8.5,M 7.5 / W 9,M 8 / W 9.5,M 8.5 / W 10,M 9 / W 10.5,M 9.5 / W 11,M 10 / W 11.5,M 10.5 / W 12,M 11 / W 12.5,M 11.5 / W 13,M 12 / W 13.5,M 12.5 / W 14,M 13 / W 14.5,M 14 / W 15.5,M 15 / W 16.5",https://www.reebok.com/p/100033788/nano-x3-training-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Scarlet / Core Black / Pewter,Cold-weather training shoes created with Spyder,"https://reebok.bynder.com/transform/08905a96-7e24-455d-a0bf-610b32e0e3e2/100200366_H1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/1b2dda97-5b34-42d4-a6fe-1f1e282f88eb/100200366_H2_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/d328a0d2-64e5-45eb-8308-01daca7a88bf/100200366_H3_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/f96c3221-2165-4572-89d5-1141c6ef8df6/100200366_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/56e5751d-7092-4773-a7a1-f79a1604fb1a/100200366_H1_ECOM?io=transform:scale,width:600,https://reebok.bynder.com/transform/6032bbef-3340-4e00-a9bf-aaccd415b5e6/100200366_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/78e05b35-5d1c-4eb1-b114-cd8accf24d0d/100200366_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/2661a47b-a237-44dc-924b-f5262e73a1b8/100200366_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/64783fba-febc-4572-a4bf-c50665b5ecc5/100200366_BT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/d176bc53-83a8-4169-99e8-aeddc0aa09c0/100200366_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/0ab0cd2f-2dd3-468a-9f0a-f73cbdf1e735/100200366_D2_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/08905a96-7e24-455d-a0bf-610b32e0e3e2/100200366_H1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/1b2dda97-5b34-42d4-a6fe-1f1e282f88eb/100200366_H2_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/d328a0d2-64e5-45eb-8308-01daca7a88bf/100200366_H3_eCom-tif?io=transform:scale,width:600,,",Reebok,Spyder x Reebok Nano X3 Adventure Winter Training Shoes,"$,170","M 4 / W 5.5,M 4.5 / W 6,M 5 / W 6.5,M 5.5 / W 7,M 6 / W 7.5,M 6.5 / W 8,M 7 / W 8.5,M 7.5 / W 9,M 8 / W 9.5,M 8.5 / W 10,M 9 / W 10.5,M 9.5 / W 11,M 10 / W 11.5,M 10.5 / W 12,M 11 / W 12.5,M 11.5 / W 13,M 12 / W 13.5,M 12.5 / W 14,M 13 / W 14.5,M 14 / W 15.5",https://www.reebok.com/p/100200366/spyder-x-reebok-nano-x3-adventure-winter-training-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Possibly Pink / Chalk / Possibly Pink,Versatile fitness shoes with a supportive build,"https://reebok.bynder.com/transform/ed57820d-e796-4048-9164-aecbdf71618c/100033512_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/bf37aa88-5de5-4056-99d8-0358ad468eea/100033512_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/680cd105-ea29-43e1-af17-b9760c5c96ec/100033512_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/2018196d-8a81-4e27-9b8b-d53eec8634bc/100033512_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/569dbe34-1719-4898-98d2-9b4bee5aad30/100033512_BT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/b7e3d3de-2ea7-417c-897f-0c6531ff4109/100033512_D1_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/e9c2fd08-8fd0-45f9-a83e-b5d169657cb4/100033512_D2_eCom-tif?io=transform:scale,width:600,,",Reebok,Nano X3 Women's Shoes,"$,150","5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,12",https://www.reebok.com/p/100033512/nano-x3-women-s-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
Vector Navy / White / Hoops Blue,Lightweight training shoes with responsive cushioning,"https://reebok.bynder.com/transform/a6c5d43a-488a-4d98-bed6-c882229c13bf/100033358_SLC_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/539de24a-afe3-44fe-a27e-a27ef007424d/100033358_FLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/33c62741-9746-4a5b-8588-2da646583251/100033358_BLT_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/371defd2-140f-43f1-a732-75d7ff0c4c88/100033358_TPP_eCom-tif?io=transform:scale,width:600,https://reebok.bynder.com/transform/fc689d3d-b978-4e1c-9bcf-0dcca257849f/100033358_BT_eCom-tif?io=transform:scale,width:600,,",Reebok,Flexagon Energy 4 Men's Training Shoes,"$,65","6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14",https://www.reebok.com/p/100033358/flexagon-energy-4-men-s-training-shoes,https://www.reebok.com/c/600000057/collection-shoes?page=1
